col,"Coors Field (Denver, Colorado)",1.332,,"Coors Field (Denver, Colorado)",1.368,,"Coors Field (Denver, Colorado)",1.436,,1.32,#REF!
tex,"Globe Life Park in Arlington (Arlington, Texas)",1.215,,"Globe Life Park in Arlington (Arlington, Texas)",1.156,,"Globe Life Park in Arlington (Arlington, Texas)",1.141,,1.15,#REF!
ari,"Chase Field (Phoenix, Arizona)",1.202,,"Chase Field (Phoenix, Arizona)",1.225,,"Chase Field (Phoenix, Arizona)",1.062,,1.15,#REF!
bos,"Fenway Park (Boston, Massachusetts)",1.026,,"Fenway Park (Boston, Massachusetts)",1.199,,"Fenway Park (Boston, Massachusetts)",1.191,,1.11,#REF!
cle,"Progressive Field (Cleveland, Ohio)",0.971,,"Progressive Field (Cleveland, Ohio)",1.207,,"Progressive Field (Cleveland, Ohio)",1.261,,1.10,#REF!
mil,"Miller Park (Milwaukee, Wisconsin)",1.094,,"Miller Park (Milwaukee, Wisconsin)",0.972,,"Miller Park (Milwaukee, Wisconsin)",1.103,,1.05,#REF!
min,"Target Field (Minneapolis, Minnesota)",1.095,,"Target Field (Minneapolis, Minnesota)",1.044,,"Target Field (Minneapolis, Minnesota)",0.994,,1.05,#REF!
det,"Comerica Park (Detroit, Michigan)",1.169,,"Comerica Park (Detroit, Michigan)",1.019,,"Comerica Park (Detroit, Michigan)",0.902,,1.04,#REF!
bal,"Oriole Park at Camden Yards (Baltimore, Maryland)",1.026,,"Oriole Park at Camden Yards (Baltimore, Maryland)",0.953,,"Oriole Park at Camden Yards (Baltimore, Maryland)",1.228,,1.04,#REF!
cin,"Great American Ball Park (Cincinnati, Ohio)",1.02,,"Great American Ball Park (Cincinnati, Ohio)",0.99,,"Great American Ball Park (Cincinnati, Ohio)",1.115,,1.03,#REF!
kan,"Kauffman Stadium (Kansas City, Missouri)",0.926,,"Kauffman Stadium (Kansas City, Missouri)",1.171,,"Kauffman Stadium (Kansas City, Missouri)",1.019,,1.03,#REF!
nyy,"Yankee Stadium (New York, New York)",1.019,,"Yankee Stadium (New York, New York)",1.035,,"Yankee Stadium (New York, New York)",1.022,,1.02,#REF!
wsh,"Nationals Park (Washington, D.C.)",1.057,,"Nationals Park (Washington, D.C.)",0.956,,"Nationals Park (Washington, D.C.)",1,,1.01,#REF!
tor,"Rogers Centre (Toronto, Ontario)",0.946,,"Rogers Centre (Toronto, Ontario)",1.156,,"Rogers Centre (Toronto, Ontario)",0.906,,1.01,#REF!
chc,"Wrigley Field (Chicago, Illinois)",1.131,,"Wrigley Field (Chicago, Illinois)",0.874,,"Wrigley Field (Chicago, Illinois)",0.95,,1.00,#REF!
atl,"SunTrust Park (Cumberland, GA)",0.976,,"SunTrust Park (Cumberland, GA)",1,,"SunTrust Park (Cumberland, GA)",1,,0.99,#REF!
phi,"Citizens Bank Park (Philadelphia, Pennsylvania)",1.073,,"Citizens Bank Park (Philadelphia, Pennsylvania)",0.84,,"Citizens Bank Park (Philadelphia, Pennsylvania)",1.038,,0.99,#REF!
oak,"Oakland Coliseum (Oakland, California)",1.103,,"Oakland Coliseum (Oakland, California)",0.829,,"Oakland Coliseum (Oakland, California)",0.944,,0.98,#REF!
pit,"PNC Park (Pittsburgh, Pennsylvania)",0.948,,"PNC Park (Pittsburgh, Pennsylvania)",1.007,,"PNC Park (Pittsburgh, Pennsylvania)",0.933,,0.97,#REF!
chw,"Guaranteed Rate Field (Chicago, Illinois)",1.003,,"Guaranteed Rate Field (Chicago, Illinois)",0.927,,"Guaranteed Rate Field (Chicago, Illinois)",0.904,,0.96,#REF!
sd,"Petco Park (San Diego, California)",0.828,,"Petco Park (San Diego, California)",1.014,,"Petco Park (San Diego, California)",0.931,,0.93,#REF!
sea,"Safeco Field (Seattle, Washington)",0.917,,"Safeco Field (Seattle, Washington)",0.941,,"Safeco Field (Seattle, Washington)",0.878,,0.93,#REF!
laa,"Angel Stadium of Anaheim (Anaheim, California)",0.949,,"Angel Stadium of Anaheim (Anaheim, California)",0.91,,"Angel Stadium of Anaheim (Anaheim, California)",0.861,,0.93,#REF!
stl,"Busch Stadium (St. Louis, Missouri)",0.889,,"Busch Stadium (St. Louis, Missouri)",0.921,,"Busch Stadium (St. Louis, Missouri)",0.931,,0.92,#REF!
tb,"Tropicana Field (St. Petersburg, Florida)",0.902,,"Tropicana Field (St. Petersburg, Florida)",0.889,,"Tropicana Field (St. Petersburg, Florida)",0.94,,0.92,#REF!
lad,"Dodger Stadium (Los Angeles, California)",0.971,,"Dodger Stadium (Los Angeles, California)",0.813,,"Dodger Stadium (Los Angeles, California)",0.918,,0.92,#REF!
nym,"Citi Field (New York, New York)",0.858,,"Citi Field (New York, New York)",0.988,,"Citi Field (New York, New York)",0.87,,0.92,#REF!
sf,"AT&T Park (San Francisco, California)",0.85,,"AT&T Park (San Francisco, California)",1.012,,"AT&T Park (San Francisco, California)",0.845,,0.92,#REF!
flo,"Marlins Park (Miami, Florida)",0.848,,"Marlins Park (Miami, Florida)",0.834,,"Marlins Park (Miami, Florida)",0.95,,0.89,#REF!
hou,"Minute Maid Park (Houston, Texas)",0.826,,"Minute Maid Park (Houston, Texas)",0.808,,"Minute Maid Park (Houston, Texas)",0.927,,0.87,#REF!
